OBJECTID,LabID,Age,Error,Material,Taxa,d13C,Method,Long,Lat,LocAccuracy,Period,SiteID,SiteName,Country,Province,Continent,Source,Reference,calib,NEAR_FID,NEAR_DIST
36956,Beta-72283,490,60,CHARCOAL,Charred Thatch,-28.3,AMS,-90.77140157,35.29579872,1,NA,3CS29,Parkin,USA,Arkansas,North America,UWyo2021,Arkansas Archeological Site File Extension 3Cs0029,intcal20,163104,573543.065710536
36957,Beta-72284,330,50,CHARCOAL,charred wood,-25,AMS,-90.77140157,35.29579872,1,NA,3CS29,Parkin,USA,Arkansas,North America,UWyo2021,Arkansas Archeological Site File Extension 3Cs0029,intcal20,163104,573543.065710536
36958,Beta-72285,690,60,CHARCOAL,charred wood,-25,AMS,-90.77140157,35.29579872,1,NA,3CS29,Parkin,USA,Arkansas,North America,UWyo2021,Arkansas Archeological Site File Extension 3Cs0029,intcal20,163104,573543.065710536
37180,Beta-73120,530,70,CHARCOAL,NA,NA,NA,-90.37555861,34.65189979,1,NA,22TU500,Hollywood,USA,Mississippi,North America,UWyo2021,Stallings 1994; Sims and Connaway 2000,intcal20,163104,496180.378783607
37181,Beta-73121,340,50,CHARCOAL,Charred plant,NA,NA,-90.37555861,34.65189979,1,NA,22TU500,Hollywood,USA,Mississippi,North America,UWyo2021,Stallings 1994; Sims and Connaway 2000,intcal20,163104,496180.378783607
37246,Beta-73483,1560,60,CHARCOAL,NA,-25,RADIOMETRIC,-89.78538921,36.21145498,1,NA,23PM572,Hayti Bypass,USA,Missouri,North America,UWyo2021,Conner Michael D.  1995 – Woodland and Mississippian Occupations at the Hayti Bypass site Pemiscot County Missouri.  Jefferson City Mo.,intcal20,162717,652959.6719302
37413,Beta-74349,810,70,CHARCOAL,charred wood,NA,NA,-89.89550852,35.18413891,1,NA,40SY488,Poplar Tree Lake,USA,Tennessee,North America,UWyo2021,Barker 2005,intcal20,162717,540209.847073691
37434,Beta-74559,2010,70,CHARCOAL,NA,-25,AMS,-89.78538921,36.21145498,1,NA,23PM572,Hayti Bypass,USA,Missouri,North America,UWyo2021,Conner Michael D.  1995 – Woodland and Mississippian Occupations at the Hayti Bypass site Pemiscot County Missouri.  Jefferson City Mo.,intcal20,162717,652959.6719302
37453,Beta-74677,710,90,CHARCOAL,NA,-26.9,AMS,-89.25512379,37.47145953,1,NA,11U635,Dillow's Ridge,USA,Illinois,North America,UWyo2021,Cobb and Butler 2002,intcal20,162716,789348.991068609
37467,Beta-74743/84873à,6560,90,CHARCOAL,hickory nutshell/oak,NA,RADIOMETRIC,-90.17723763,38.27881577,1,NA,11MO841,Strong,USA,Illinois,North America,UWyo2021,Adams et al. 1997; McElrath et al. 2009,intcal20,162717,896803.704091355
