Site,County,State,Inclusion2,Inclusion,BP,PeriodID,PeriodID2,TimeID,Nuts,EAC,IP,IP Source,CultIndex,MesoIndex,MesoIndex2
23SL122,St. Louis,MO,1,1,1300,1899-1250,2,1000,128,14,3,,0.117241379,0.020689655,0
Hayti Bypass,Pemiscot,MO,1,1,924,1249-900,3,500,736,1622,35,,0.692436272,0.014625992,0.22
Triangle (near Hopeton),Ross,OH,0,0,3945,5000-3450,0,3500,830,0,0,,0,0,
Houpt,Butler,OH,0,0,3206,3400-1900,1,3000,197,0,0,,0,0,
Boudinot 4,Athens,OH,0,0,2535,3400-1900,1,2500,398,24,0,,0.056872038,0,
Overly Tract (near Hopeton),Ross,OH,0,0,1800,1899-1250,2,1500,807,1113,0,,0.5796875,0,
Triangle (near Hopeton),Ross,OH,0,0,1035,1249-900,3,1000,78,0,0,,0,0,
State Line,Hamilton,OH,0,0,770,899-750,4,1000,141,10,1578,,0.918449971,0.912666281,
Incinerator,Montgomery,OH,0,0,750,899-750,4,1000,1154,26,597,,0.350590884,0.335959482,
Seip,Ross,OH,0,0,700,749-300,5,1000,1,9,0,,0.9,0,
Schomaker,Hamilton,OH,0,0,562,749-300,5,1000,800,46,1268,,0.621570482,0.599810785,
Madisonville,Hamilton,OH,0,0,445,749-300,5,500,1811,9,2991,,0.623570983,0.62170027,
"Hayes, II",Marshall,TN,0,0,4270,5000-3450,0,4000,210,0,0,,0,0,
Fernvale,Williamson,TN,0,0,3870,5000-3450,0,3500,3883,3,0,,0.000772002,0,
40HW45,Hawkins,TN,0,0,2850,3400-1900,1,2500,7063,111,0,,0.01547254,0,
Westmoreland-Barber,Marion,TN,0,0,2705,3400-1900,1,2500,211,1,0,,0.004716981,0,
40HW44,Hawkins,TN,0,0,2650,3400-1900,1,2500,1328,2,0,,0.001503759,0,
40HW45,Hawkins,TN,0,0,2650,3400-1900,1,2500,367,1,0,,0.002717391,0,
40BT47,Blount,TN,0,0,2540,3400-1900,1,2500,4722,0,0,,0,0,
40HW44,Hawkins,TN,0,0,2500,3400-1900,1,2500,5683,18,0,,0.003157341,0,
40HW45,Hawkins,TN,0,0,2500,3400-1900,1,2500,816,17,0,,0.020408163,0,
McFarland,Coffee,TN,0,0,1975,3400-1900,1,1500,16578,4730,1,,0.222018865,4.69E-05,
Parks,Coffee,TN,0,0,1975,3400-1900,1,1500,20809,6,0,,0.000288254,0,
